[2025-07-30 07:41:27] =========================================
[2025-07-30 07:41:27] 📌 工作目录：/home/runner/work/openwrt-custom-builder/openwrt-custom-builder
[2025-07-30 07:41:27] 📌 输出文件：/home/runner/work/openwrt-custom-builder/openwrt-custom-builder/device-drivers.json
[2025-07-30 07:41:27] 📥 开始OpenWrt设备同步（修复grep错误）
[2025-07-30 07:41:27] =========================================
[2025-07-30 07:41:27] 🔍 检查依赖工具...
[2025-07-30 07:41:27] ✅ 依赖齐全
[2025-07-30 07:41:27] 🔧 初始化配置文件...
[2025-07-30 07:41:27] 📥 克隆源码到临时目录：/tmp/tmp.Buhba0HKx2
Cloning into '/tmp/tmp.Buhba0HKx2'...
[2025-07-30 07:41:30] ✅ 源码克隆成功
[2025-07-30 07:41:30] 🔍 提取设备信息...
[2025-07-30 07:41:30] ℹ️ 收集设备定义文件...
[2025-07-30 07:41:30] ℹ️ 共发现 2750 个设备文件
[2025-07-30 07:41:30] ℹ️ 处理批次：batch_aa
[2025-07-30 07:41:30] ℹ️ 提取设备：siflower（芯片：sf19a2890-evb）
[2025-07-30 07:41:30] ℹ️ 提取设备：sf19a2890（芯片：sf19a2890-evb）
[2025-07-30 07:41:30] ℹ️ 提取设备：evaluation（芯片：sf19a2890-evb）
[2025-07-30 07:41:30] ℹ️ 提取设备：board（芯片：sf19a2890-evb）
[2025-07-30 07:41:30] ℹ️ 提取设备：siflower-sf19a2890-evb（芯片：sf19a2890-evb）
[2025-07-30 07:41:30] ℹ️ 提取设备：siflower-sf19a2890（芯片：sf19a2890-evb）
[2025-07-30 07:41:30] ℹ️ 提取设备：gpio-leds（芯片：sf19a2890-evb）
[2025-07-30 07:41:30] ℹ️ 提取设备：gpio-keys（芯片：sf19a2890-evb）
[2025-07-30 07:41:30] ℹ️ 提取设备：realtek-rtl8367b（芯片：sf19a2890-evb）
[2025-07-30 07:41:30] ℹ️ 提取设备：jedec-spi-nor（芯片：sf19a2890-evb）
[2025-07-30 07:41:30] ℹ️ 提取设备：fixed-partitions（芯片：sf19a2890-evb）
[2025-07-30 07:41:30] ℹ️ 提取设备：fixed-layout（芯片：sf19a2890-evb）
[2025-07-30 07:41:30] ℹ️ 提取设备：denx-uimage（芯片：sf19a2890-evb）
[2025-07-30 07:41:30] ℹ️ 提取设备：siflower-sf21a6826（芯片：siflower）
[2025-07-30 07:41:30] ℹ️ 提取设备：regulator-fixed（芯片：siflower）
[2025-07-30 07:41:30] ℹ️ 提取设备：analogtek-at8563（芯片：siflower）
[2025-07-30 07:41:30] ℹ️ 提取设备：nxp-pcf8563（芯片：siflower）
[2025-07-30 07:41:30] ℹ️ 提取设备：ethernet-phy-ieee8023-c22（芯片：siflower）
[2025-07-30 07:41:30] ℹ️ 提取设备：riscv（芯片：intc）
[2025-07-30 07:41:30] ℹ️ 提取设备：riscv-cpu-intc（芯片：intc）
[2025-07-30 07:41:30] ℹ️ 提取设备：cache（芯片：intc）
[2025-07-30 07:41:30] ℹ️ 提取设备：fixed-clock（芯片：intc）
[2025-07-30 07:41:30] ℹ️ 提取设备：riscv-pmu（芯片：intc）
[2025-07-30 07:41:30] ℹ️ 提取设备：riscv-timer（芯片：intc）
[2025-07-30 07:41:30] ℹ️ 提取设备：siflower-sf21-reset（芯片：intc）
[2025-07-30 07:41:30] ℹ️ 提取设备：simple-bus（芯片：intc）
[2025-07-30 07:41:30] ℹ️ 提取设备：siflower-sf21-pcie（芯片：intc）
[2025-07-30 07:41:30] ℹ️ 提取设备：siflower-sf21-topcrm（芯片：intc）
[2025-07-30 07:41:30] ℹ️ 提取设备：syscon（芯片：intc）
[2025-07-30 07:41:30] ℹ️ 提取设备：siflower-sf19a2890-periph-reset（芯片：intc）
[2025-07-30 07:41:31] ℹ️ 提取设备：siflower-sf19a2890-periph-clk（芯片：intc）
[2025-07-30 07:41:31] ℹ️ 提取设备：arm-pl011（芯片：intc）
[2025-07-30 07:41:31] ℹ️ 提取设备：arm-primecell（芯片：intc）
[2025-07-30 07:41:31] ℹ️ 提取设备：siflower-sf21-qspi（芯片：intc）
[2025-07-30 07:41:31] ℹ️ 提取设备：snps-dw-wdt（芯片：intc）
[2025-07-30 07:41:31] ℹ️ 提取设备：siflower-sf21-usb-phy（芯片：intc）
[2025-07-30 07:41:31] ℹ️ 提取设备：siflower-sf21-pcie-phy（芯片：intc）
[2025-07-30 07:41:31] ℹ️ 提取设备：siflower-sf19a2890-usb（芯片：intc）
[2025-07-30 07:41:31] ℹ️ 提取设备：mmio-sram（芯片：intc）
[2025-07-30 07:41:31] ℹ️ 提取设备：siflower-sf21-xgmac（芯片：intc）
[2025-07-30 07:41:31] ℹ️ 提取设备：siflower-sf21-xgmac-dma（芯片：intc）
[2025-07-30 07:41:31] ℹ️ 提取设备：siflower-sf21-xpcs（芯片：intc）
[2025-07-30 07:41:31] ℹ️ 提取设备：siflower-sf19a2890-gpio（芯片：intc）
[2025-07-30 07:41:31] ℹ️ 提取设备：snps-designware-i2c（芯片：intc）
[2025-07-30 07:41:31] ℹ️ 提取设备：siflower-ethsys（芯片：intc）
[2025-07-30 07:41:31] ℹ️ 提取设备：siflower-sf21-dpns（芯片：intc）
[2025-07-30 07:41:31] ℹ️ 提取设备：siflower-brom-sysm（芯片：intc）
[2025-07-30 07:41:31] ℹ️ 提取设备：siflower-cpu-sysm（芯片：intc）
[2025-07-30 07:41:31] ℹ️ 提取设备：pinconf-single（芯片：intc）
[2025-07-30 07:41:31] ℹ️ 提取设备：thead-c900-plic（芯片：intc）
[2025-07-30 07:41:31] ℹ️ 提取设备：thead-c900-aclint-mswi（芯片：intc）
[2025-07-30 07:41:31] ℹ️ 提取设备：thead-c900-aclint-mtimer（芯片：intc）
[2025-07-30 07:41:31] ℹ️ 提取设备：thead-c900-aclint-sswi（芯片：intc）
